epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1393.29,0.56055,0.45516,0.93092,0.94777,0.90095,0.93204,0.8338,0.4895,0.4297,0.89747,0.000848969,0.000848969,0.000848969
43,1424.7,0.54349,0.44008,0.92085,0.98082,0.87589,0.91258,0.82721,0.48411,0.45083,0.88088,0.000834822,0.000834822,0.000834822
44,1455.31,0.5557,0.42676,0.93118,0.96669,0.89902,0.93876,0.84125,0.47797,0.42179,0.88711,0.000820675,0.000820675,0.000820675
45,1485.98,0.57318,0.44683,0.938,0.9688,0.88839,0.9309,0.83333,0.50788,0.41904,0.8883,0.000806528,0.000806528,0.000806528
46,1516.6,0.55849,0.44991,0.92739,0.95677,0.88386,0.9283,0.81944,0.53693,0.44615,0.91748,0.00079238,0.00079238,0.00079238
47,1547.19,0.55314,0.43277,0.92562,0.96159,0.8852,0.92611,0.83364,0.48601,0.44197,0.88318,0.000778233,0.000778233,0.000778233
48,1577.83,0.53324,0.41144,0.92001,0.97354,0.89066,0.93084,0.85097,0.44498,0.39659,0.84837,0.000764086,0.000764086,0.000764086
49,1608.3,0.55892,0.43813,0.92995,0.9848,0.89856,0.93665,0.85328,0.44499,0.43554,0.86094,0.000749939,0.000749939,0.000749939
50,1639.08,0.55036,0.43322,0.93007,0.97068,0.89198,0.9321,0.8398,0.4881,0.4798,0.89485,0.000735792,0.000735792,0.000735792
51,1669.57,0.53005,0.42204,0.91808,0.98748,0.87893,0.93186,0.84243,0.46062,0.41176,0.86338,0.000721645,0.000721645,0.000721645
52,1700.26,0.52284,0.41612,0.90824,0.96652,0.91013,0.93458,0.85174,0.47545,0.42704,0.87665,0.000707498,0.000707498,0.000707498
53,1731.62,0.50667,0.41377,0.90122,0.97685,0.89613,0.93621,0.84773,0.47363,0.41268,0.88385,0.000693351,0.000693351,0.000693351
54,1762.34,0.52696,0.4098,0.91073,0.97985,0.90457,0.93788,0.83568,0.46767,0.39497,0.8766,0.000679204,0.000679204,0.000679204
55,1792.59,0.52805,0.41188,0.91436,0.93877,0.90896,0.93521,0.85735,0.43833,0.39491,0.85904,0.000665057,0.000665057,0.000665057
56,1823.21,0.52153,0.40606,0.9209,0.96527,0.88968,0.92299,0.8412,0.45261,0.43225,0.87847,0.000650909,0.000650909,0.000650909
57,1853.71,0.51427,0.39596,0.90118,0.96933,0.90153,0.93518,0.84858,0.46323,0.3907,0.88039,0.000636762,0.000636762,0.000636762
58,1884.21,0.51066,0.40027,0.91309,0.96891,0.91166,0.93158,0.85743,0.44846,0.40214,0.86237,0.000622615,0.000622615,0.000622615
59,1914.68,0.51073,0.39272,0.90929,0.98618,0.89411,0.93522,0.85919,0.42776,0.37167,0.84991,0.000608468,0.000608468,0.000608468
60,1945.19,0.51984,0.39349,0.91855,0.97741,0.91585,0.9383,0.86546,0.43301,0.36183,0.86014,0.000594321,0.000594321,0.000594321
61,1976.19,0.49714,0.38086,0.90248,0.98232,0.91553,0.94561,0.8763,0.42489,0.36278,0.86512,0.000580174,0.000580174,0.000580174
62,2006.54,0.47207,0.37393,0.89523,0.97852,0.92839,0.94725,0.86213,0.44961,0.36502,0.88612,0.000566027,0.000566027,0.000566027
63,2037.3,0.48617,0.3781,0.90405,0.98591,0.90457,0.93927,0.86711,0.43083,0.37205,0.86351,0.00055188,0.00055188,0.00055188
64,2067.97,0.47855,0.37117,0.89786,0.97417,0.90929,0.93919,0.86654,0.41831,0.37117,0.86701,0.000537733,0.000537733,0.000537733
65,2098.91,0.48447,0.37471,0.89289,0.97669,0.89518,0.93758,0.86816,0.41776,0.36982,0.87102,0.000523586,0.000523586,0.000523586
66,2129.79,0.46841,0.35619,0.89638,0.98573,0.88758,0.93988,0.87135,0.43381,0.36557,0.88123,0.000509438,0.000509438,0.000509438
67,2159.93,0.46954,0.34707,0.90117,0.9929,0.88293,0.93539,0.86741,0.4537,0.37266,0.89588,0.000495291,0.000495291,0.000495291
68,2190.4,0.47734,0.36127,0.89867,0.97309,0.91593,0.94191,0.86841,0.44259,0.36517,0.87923,0.000481144,0.000481144,0.000481144
69,2220.72,0.45768,0.35578,0.88977,0.96895,0.90405,0.93863,0.87203,0.41018,0.368,0.8653,0.000466997,0.000466997,0.000466997
70,2251.3,0.46702,0.36305,0.89088,0.97674,0.91799,0.94144,0.86784,0.4261,0.34749,0.86751,0.00045285,0.00045285,0.00045285
71,2281.41,0.46367,0.36121,0.89288,0.98758,0.91487,0.9441,0.86978,0.42318,0.34092,0.86989,0.000438703,0.000438703,0.000438703
72,2312.13,0.44388,0.34257,0.87628,0.96918,0.92262,0.94766,0.87478,0.4134,0.36466,0.86201,0.000424556,0.000424556,0.000424556
73,2343.11,0.4388,0.34059,0.88108,0.9716,0.89636,0.94321,0.87096,0.40214,0.36164,0.85545,0.000410409,0.000410409,0.000410409
74,2373.84,0.44488,0.34173,0.89239,0.96393,0.92776,0.94833,0.87528,0.42107,0.34167,0.85769,0.000396262,0.000396262,0.000396262
75,2404.92,0.42945,0.33082,0.88224,0.97743,0.90548,0.95128,0.87723,0.40013,0.33345,0.85398,0.000382115,0.000382115,0.000382115
76,2435.04,0.43582,0.33893,0.87407,0.98599,0.88636,0.95193,0.88625,0.39923,0.34533,0.85477,0.000367967,0.000367967,0.000367967
77,2465.32,0.43492,0.32948,0.88989,0.99182,0.89964,0.94766,0.88112,0.4033,0.34062,0.85186,0.00035382,0.00035382,0.00035382
78,2495.48,0.43855,0.33519,0.88652,0.98816,0.90357,0.94246,0.87495,0.39593,0.33497,0.85319,0.000339673,0.000339673,0.000339673
79,2526.07,0.41123,0.31838,0.88052,0.97521,0.91297,0.94898,0.87986,0.40136,0.33646,0.86152,0.000325526,0.000325526,0.000325526
80,2556.53,0.41578,0.31911,0.87155,0.98223,0.9192,0.94759,0.88173,0.38927,0.32631,0.85347,0.000311379,0.000311379,0.000311379
81,2586.97,0.41784,0.31756,0.87871,0.97867,0.91041,0.9426,0.88141,0.3991,0.34213,0.85607,0.000297232,0.000297232,0.000297232
82,2617.29,0.41864,0.3186,0.88,0.98035,0.91006,0.94111,0.87861,0.38459,0.3236,0.8438,0.000283085,0.000283085,0.000283085
83,2647.99,0.4038,0.3102,0.87029,0.98285,0.90591,0.9413,0.8813,0.3823,0.32406,0.83695,0.000268938,0.000268938,0.000268938
84,2678.4,0.40323,0.30672,0.87011,0.97922,0.90491,0.94664,0.88149,0.38437,0.33057,0.8491,0.000254791,0.000254791,0.000254791
85,2709.07,0.40439,0.30423,0.87923,0.98055,0.91634,0.94404,0.88067,0.37934,0.32048,0.8432,0.000240644,0.000240644,0.000240644
86,2739.45,0.40175,0.30732,0.87201,0.96932,0.91845,0.94653,0.88801,0.39286,0.31444,0.85153,0.000226497,0.000226497,0.000226497
87,2770.21,0.40232,0.30694,0.87149,0.97868,0.92247,0.94623,0.892,0.37794,0.3122,0.84945,0.000212349,0.000212349,0.000212349
